sl_no,Player Name,Type,Price Cr,Team
528,Jordan Hermann,All-Rounder,,Unsold
529,Hayden Kerr,All-Rounder,,Unsold
530,Salman Khan,All-Rounder,,Unsold
531,Sairaj Patil,All-Rounder,,Unsold
532,Divyaansh Saxena,All-Rounder,,Unsold
533,Purnank Tyagi,All-Rounder,,Unsold
534,Prince Yadav,All-Rounder,,Unsold
535,Deepraj Gaonkar,All-Rounder,,Unsold
536,Shubham Garhwal,All-Rounder,,Unsold
537,Benny Howell,All-Rounder,,Unsold
538,Deepesh Nailwal,All-Rounder,,Unsold
539,Arjun Rapria,All-Rounder,,Unsold
540,Shashwat Rawat,All-Rounder,,Unsold
541,Sumit Ruikar,All-Rounder,,Unsold
542,Shivam Sharma,All-Rounder,,Unsold
543,Rajandeep Singh,All-Rounder,,Unsold
544,Anunay Singh,All-Rounder,,Unsold
545,Digvesh Singh,All-Rounder,,Unsold
546,Pranshu Vijayran,All-Rounder,,Unsold
547,Prerit Dutta,All-Rounder,,Unsold
548,Ramakrishna Ghosh,All-Rounder,,Unsold
549,Shubhang Hegde,All-Rounder,,Unsold
550,Shamshuzama Kazi,All-Rounder,,Unsold
551,Ayaz Khan,All-Rounder,,Unsold
552,Amit Pachhara,All-Rounder,,Unsold
553,Akul Pandove,All-Rounder,,Unsold
554,Garv Sangwan,All-Rounder,,Unsold
555,Shubham Sharma,All-Rounder,,Unsold
556,Amit Yadav,All-Rounder,,Unsold
557,Amit Ali,All-Rounder,,Unsold
558,Rishabh Chauhan,All-Rounder,,Unsold
559,Matthew Forde,All-Rounder,,Unsold
560,Sammar Gajjar,All-Rounder,,Unsold
561,Rajneesh Gurbani,All-Rounder,,Unsold
562,Divyansh Joshi,All-Rounder,,Unsold
563,Dhruv Patel,All-Rounder,,Unsold
564,Jack Prestwidge,All-Rounder,,Unsold
565,Aditya Sarvate,All-Rounder,,Unsold
566,Sagar Solanki,All-Rounder,,Unsold
567,Prenelan Subrayen,All-Rounder,,Unsold
